CodeString,Name,Keywords,ID,MasterID
ST_length,length,"misc,raw,lengthdep",1,1
DN_mean,mean,"distribution,location,raw,locdep",2,5
DN_hmean,harmonic_mean,"distribution,location,raw,locdep",3,6
DN_median,median,"distribution,location,raw,locdep",4,8
DN_TrimmedMean_1,trimmed_mean_1,"distribution,location,raw,locdep",5,13
DN_TrimmedMean_5,trimmed_mean_5,"distribution,location,raw,locdep",6,14
DN_TrimmedMean_10,trimmed_mean_10,"distribution,location,raw,locdep",7,15
DN_TrimmedMean_25,trimmed_mean_25,"distribution,location,raw,locdep",8,16
DN_TrimmedMean_50,trimmed_mean_50,"distribution,location,raw,locdep",9,17
DN_midhinge,midhinge,"distribution,location,raw,locdep",10,9
DN_HistogramMode_5,DN_HistogramMode_5,"distribution,location",11,10
DN_HistogramMode_10,DN_HistogramMode_10,"distribution,location",12,11
DN_HistogramMode_20,DN_HistogramMode_20,"distribution,location",13,12
DN_max,maximum,"distribution",14,3
DN_min,miminmum,"distribution",15,4
DN_rms,rms,"distribution,location,raw,locdep,spreaddep",16,7
DN_burstiness.B,burstiness_Goh,"distribution,raw,locdep,spreaddep",17,2
DN_burstiness.B_Kim,burstiness_Kim,"distribution,raw,locdep,spreaddep",18,2
DN_Spread_std,standard_deviation,"distribution,spread,raw,spreaddep",19,18
DN_Spread_mad,mean_absolute_deviation,"distribution,spread,raw,spreaddep",20,19
DN_Spread_iqr,interquartile_range,"distribution,spread,raw,spreaddep",21,20
DN_Spread_mead,median_absolute_deviation,"distribution,spread,raw,spreaddep",22,21
DN_Moments_3,DN_Moments_3,"distribution,moment,shape",23,22
DN_Moments_4,DN_Moments_4,"distribution,moment,shape",24,23
DN_Moments_5,DN_Moments_5,"distribution,moment,shape",25,24
DN_Moments_6,DN_Moments_6,"distribution,moment,shape",26,25
DN_Moments_7,DN_Moments_7,"distribution,moment,shape",27,26
DN_Moments_8,DN_Moments_8,"distribution,moment,shape",28,27
DN_Moments_9,DN_Moments_9,"distribution,moment,shape",29,28
DN_Moments_10,DN_Moments_10,"distribution,moment,shape",30,29
DN_Moments_11,DN_Moments_11,"distribution,moment,shape",31,30
DN_Moments_raw_3,DN_Moments_raw_3,"distribution,moment,shape,raw,spreaddep",32,31
DN_Moments_raw_4,DN_Moments_raw_4,"distribution,moment,shape,raw,spreaddep",33,32
DN_Moments_raw_5,DN_Moments_raw_5,"distribution,moment,shape,raw,spreaddep",34,33
DN_Moments_raw_6,DN_Moments_raw_6,"distribution,moment,shape,raw,spreaddep",35,34
DN_Moments_raw_7,DN_Moments_raw_7,"distribution,moment,shape,raw,spreaddep",36,35
DN_Moments_raw_8,DN_Moments_raw_8,"distribution,moment,shape,raw,spreaddep",37,36
DN_Moments_raw_9,DN_Moments_raw_9,"distribution,moment,shape,raw,spreaddep",38,37
DN_Moments_raw_10,DN_Moments_raw_10,"distribution,moment,shape,raw,spreaddep",39,38
DN_Moments_raw_11,DN_Moments_raw_11,"distribution,moment,shape,raw,spreaddep",40,39
DN_CustomSkewness_pearson,skewness_pearson,"distribution,moment,shape,raw,locdep",41,40
DN_CustomSkewness_bowley,skewness_bowley,"distribution,moment,shape",42,41
DN_cv_1,coeff_var_1,"distribution,spread,cv,raw,locdep,spreaddep",43,83
DN_cv_2,coeff_var_2,"distribution,spread,cv,raw,locdep,spreaddep",44,84
DN_Withinp_05,DN_Withinp_05,"distribution,spread",45,42
DN_Withinp_10,DN_Withinp_10,"distribution,spread",46,43
DN_Withinp_15,DN_Withinp_15,"distribution,spread",47,44
DN_Withinp_20,DN_Withinp_20,"distribution,spread",48,45
DN_Withinp_25,DN_Withinp_25,"distribution,spread",49,46
DN_Withinp_30,DN_Withinp_30,"distribution,spread",50,47
DN_Withinp_median_05,DN_Withinp_median_05,"distribution,spread",51,48
DN_Withinp_median_10,DN_Withinp_median_10,"distribution,spread",52,49
DN_Withinp_median_15,DN_Withinp_median_15,"distribution,spread",53,50
DN_Withinp_median_20,DN_Withinp_median_20,"distribution,spread",54,51
DN_Withinp_median_25,DN_Withinp_median_25,"distribution,spread",55,52
DN_Withinp_median_30,DN_Withinp_median_30,"distribution,spread",56,53
DN_pleft_005,DN_pleft005,"distribution,spread",57,54
DN_pleft_01,DN_pleft01,"distribution,spread",58,55
